ctime	dtime	ttime	wait
139	145	284	145
143	143	286	143
579	498	1077	498
465	469	934	468
455	455	910	455
457	461	918	460
462	471	932	470
455	461	916	461
456	446	902	446
457	460	917	460
455	466	922	466
470	461	932	461
457	462	919	461
443	463	906	463
457	463	919	462
447	464	911	464
457	460	917	460
444	465	909	465
463	463	927	463
458	463	921	463
455	469	924	468
461	463	924	463
454	220	675	220
143	143	286	143
143	144	287	144
573	450	1023	450
462	461	923	460
458	447	906	447
455	462	917	462
142	145	286	144
142	146	288	145
596	450	1046	450
456	462	918	462
456	447	903	447
456	459	915	459
457	355	811	354
142	147	289	147
142	691	833	690
450	462	913	462
457	460	917	460
445	461	906	461
455	460	916	460
143	146	289	146
349	144	493	144
695	453	1148	453
458	460	918	460
454	450	904	450
455	454	908	453
455	461	916	460
453	468	921	468
453	449	902	449
457	462	919	462
456	451	908	451
456	463	919	463
457	457	914	457
452	463	914	462
457	461	918	461
447	462	908	461
434	468	902	468
484	463	947	463
450	471	921	471
448	464	912	463
455	460	915	459
448	465	913	465
458	465	923	465
458	452	910	452
460	463	923	463
457	451	908	451
461	467	928	467
460	451	911	451
459	444	903	444
453	453	906	453
456	438	894	437
458	452	910	452
460	439	899	439
459	451	909	450
459	441	900	441
457	453	910	452
459	439	898	439
461	452	912	451
459	439	898	439
458	456	914	455
459	444	903	444
479	488	967	488
450	454	904	453
462	453	915	452
447	455	902	455
458	452	910	451
449	456	904	456
461	456	917	455
471	469	939	468
457	457	914	456
457	466	924	466
437	453	890	453
464	467	930	466
435	454	889	454
459	468	926	468
442	455	896	454
457	465	922	464
442	475	917	475
438	466	904	466
440	453	893	453
460	470	930	470
439	458	897	458
438	452	890	452
460	466	927	466
464	468	932	468
439	452	891	452
462	467	929	467
438	454	893	454
461	469	930	469
462	454	916	454
473	482	955	482
457	465	922	465
448	466	914	466
464	441	905	441
461	439	900	439
472	441	913	440
449	463	912	462
461	444	905	444
476	440	916	440
468	466	934	466
448	442	890	442
455	463	918	463
451	439	891	439
459	466	925	465
447	437	885	437
448	439	887	439
459	463	922	462
457	465	922	465
448	437	884	436
458	462	920	462
449	445	894	445
457	465	921	464
470	315	785	315
142	145	287	144
143	701	844	701
447	459	906	459
456	464	920	464
445	461	906	461
446	460	905	460
456	461	917	461
457	463	920	463
443	459	902	459
448	494	942	494
537	527	1064	527
556	585	1141	584
536	530	1066	530
527	543	1070	543
544	519	1063	519
273	146	419	146
473	468	941	468
144	582	726	582
153	148	301	148
482	490	972	489
488	471	959	471
466	462	928	461
457	462	920	462
142	144	287	144
303	143	446	143
698	451	1150	451
465	470	935	470
465	489	954	489
500	464	964	464
457	449	906	448
455	464	919	464
457	449	907	449
456	461	918	461
458	449	907	448
456	465	922	465
454	462	916	462
446	465	911	464
435	461	895	461
450	466	916	466
467	461	929	461
477	509	986	508
469	481	950	480
477	477	954	477
457	438	895	438
459	454	913	454
458	444	902	443
469	482	950	481
464	468	932	467
478	503	982	501
463	479	942	479
469	536	1005	535
488	563	1051	563
514	471	985	470
520	493	1013	493
473	457	929	456
451	457	908	457
476	452	927	451
449	453	902	453
488	491	979	490
488	476	964	476
435	471	906	471
455	480	935	480
448	455	903	455
460	455	915	454
492	467	959	467
453	465	918	464
458	467	926	467
451	441	891	441
457	464	922	464
448	443	891	443
459	459	918	458
458	442	900	442
459	469	927	468
462	484	946	484
461	302	762	301
144	679	824	679
446	463	909	463
457	459	917	459
444	462	906	462
460	466	926	465
468	463	931	462
461	465	926	464
449	463	912	462
460	478	939	478
442	462	904	462
486	488	973	487
492	472	963	471
465	465	930	465
465	468	933	467
464	467	931	467
459	449	907	448
457	464	922	464
449	446	895	446
464	463	927	463
448	473	921	473
458	472	929	471
449	456	904	455
467	468	935	468
464	470	934	469
463	465	928	465
464	465	929	465
470	468	938	468
458	454	912	453
445	465	910	464
457	445	901	444
453	465	919	465
466	442	908	442
452	465	917	465
454	464	918	463
456	442	899	442
486	480	966	480
448	457	905	457
465	446	911	445
453	457	911	457
461	447	908	447
449	455	904	455
463	446	909	446
448	475	923	475
466	502	968	500
469	465	934	465
472	475	946	474
