ctime	dtime	ttime	wait
441	469	910	469
458	450	908	450
474	462	937	462
456	448	904	447
443	464	906	463
464	465	929	465
472	452	924	452
443	449	892	449
443	447	890	447
450	449	899	449
445	453	898	453
453	461	914	460
448	450	898	450
422	449	872	449
445	451	896	451
442	454	896	454
471	451	922	451
451	473	924	473
447	451	898	451
449	446	896	446
443	449	892	448
449	463	912	462
458	453	911	453
453	468	921	468
460	504	964	504
457	465	922	464
464	464	928	464
444	438	882	437
464	467	930	466
471	462	933	462
474	475	948	474
507	533	1040	533
493	485	979	485
449	462	911	462
458	462	920	462
468	449	918	449
470	452	921	451
454	460	915	460
445	465	910	464
460	466	926	465
449	461	911	461
459	462	921	461
462	452	915	452
458	466	924	466
455	449	905	449
459	450	909	450
459	464	924	464
460	460	920	459
457	452	909	451
461	463	924	462
459	458	916	457
465	438	902	437
459	453	912	453
457	436	893	436
459	452	912	452
459	444	903	444
459	446	906	446
459	458	918	458
466	458	924	457
460	444	904	444
462	441	903	440
471	443	913	442
458	445	903	445
447	455	902	455
478	482	960	482
474	443	917	442
463	439	902	438
436	460	895	460
458	465	922	464
471	442	913	442
459	414	873	413
142	144	286	144
142	693	835	693
449	466	915	466
457	460	917	460
445	459	904	459
457	466	923	466
142	145	287	144
356	144	500	143
688	453	1141	452
459	464	923	464
458	449	907	449
458	462	920	462
456	450	906	450
465	468	933	468
456	460	916	459
457	453	911	453
460	449	909	448
461	464	925	464
459	453	912	453
457	462	920	462
460	466	926	466
453	393	846	392
142	684	826	684
144	145	288	144
458	466	924	465
455	466	921	466
448	476	924	475
484	449	933	449
142	144	285	144
142	704	846	704
455	472	927	471
454	460	914	460
444	463	907	463
458	461	919	461
142	144	287	144
142	144	285	143
664	449	1113	449
460	462	922	461
458	451	909	451
458	468	926	468
462	454	916	453
457	464	921	464
446	460	906	460
462	460	922	460
200	143	344	143
458	454	912	453
142	145	287	145
695	454	1149	454
460	463	923	463
454	447	901	447
464	462	926	462
460	144	605	144
142	143	285	143
142	145	287	144
143	680	822	680
448	464	912	463
458	467	925	466
461	499	960	498
519	564	1083	564
630	547	1177	546
486	445	930	444
469	469	938	469
458	457	915	456
451	466	917	465
459	464	923	464
458	458	917	458
459	471	930	471
461	472	933	472
459	464	923	464
457	454	911	453
459	443	902	443
463	474	937	474
459	457	916	457
142	144	286	144
143	144	286	144
622	453	1075	453
462	465	927	464
453	460	914	460
458	450	908	450
459	164	623	164
142	674	817	674
143	165	307	165
449	459	908	459
459	463	923	463
444	467	911	467
485	468	953	468
446	467	913	467
463	460	924	460
458	471	929	471
464	461	924	460
142	144	286	143
142	693	835	693
449	152	601	151
447	464	910	463
458	462	920	461
449	465	913	464
461	469	930	469
142	144	286	143
268	143	411	143
700	453	1153	453
458	463	920	462
456	477	933	476
455	467	922	467
446	458	904	458
460	452	912	451
460	450	910	449
442	456	898	456
464	450	914	450
440	459	899	458
458	452	910	450
438	467	904	466
461	447	908	447
443	463	905	462
460	476	936	476
434	451	885	451
461	462	923	462
461	465	926	464
436	451	888	451
465	469	935	469
438	480	918	480
460	465	925	464
452	469	921	469
451	430	881	430
142	143	285	143
142	703	844	702
449	469	918	467
456	462	918	461
449	462	910	461
455	476	931	476
142	145	287	144
145	144	290	144
664	517	1182	517
501	485	987	485
483	476	960	476
481	480	960	479
487	202	689	202
142	685	828	685
143	143	286	143
480	615	1095	614
498	481	979	481
492	493	985	493
479	491	969	491
310	146	456	146
142	144	285	143
677	518	1195	517
468	470	938	470
454	454	908	454
463	469	932	469
466	467	933	467
453	484	937	483
461	470	930	469
483	494	978	494
482	503	984	502
464	452	916	452
479	465	944	464
472	463	935	462
456	467	924	467
461	473	934	473
455	470	925	470
476	469	945	469
466	460	925	460
450	465	915	465
477	459	936	458
453	461	914	461
439	459	898	459
450	464	914	464
440	462	902	461
452	468	920	467
169	144	313	144
142	144	287	144
696	453	1149	453
456	464	920	464
455	459	914	458
459	465	924	465
460	451	910	450
477	458	936	458
459	462	921	462
456	444	900	444
459	466	925	465
469	443	912	443
462	453	915	453
478	452	930	451
462	453	915	453
446	459	905	459
380	148	528	148
143	143	286	143
690	465	1154	465
472	502	974	501
564	568	1133	568
627	753	1380	753
142	144	286	144
611	176	787	176
142	594	736	593
444	461	905	460
463	479	942	479
475	465	940	465
455	461	916	461
142	143	286	143
331	143	474	143
690	452	1142	452
458	467	925	466
458	448	905	447
448	455	903	455
460	461	921	461
461	468	929	467
453	461	914	461
462	452	914	452
459	447	906	447
458	469	927	469
462	474	936	474
466	474	940	473
450	451	901	451
